No,Product Name,Price,Description,Printer Type,Material,Build Volume,Minimum Layer Height,Number of Extruder Head,Speed,Open Source,3rd Party Material,Filament Diameter,Connectivity,Source
11,Ultimaker Original+,"€ 949,00","First released as a kit in 2011, the Ultimaker Original is one of the oldest desktop 3D printers. The Original+ is an upgraded version, which includes the Ultimaker 2's heated build platform. It can print files unto 21 x 21 x 20.5 cm. at a maximum resolution of 20 microns. An active community is there to support you in case you seek advice or modifications.",FDM,"ABS, PLA, Exotics",21 x 21 x 20.5 cm,20 microns,1,30-300 mm/s,Hardware & software,Yes,2.85,SD card,https://www.3dhubs.com/3d-printers/ultimaker-original-plus
12,BCN3D SIGMA,"$2,795.00","A professional FDM printer with dual extruders, large 21 x 29.7 x 21 cm build volume and 50 micron maximum resolution. Its main differentiator is the Independent Dual Extruder system, which allows users to print without geometric limitations using dissolvable support materials (PVA, HIPS) and to combine various materials for multimaterial and multicolor printing.",FDM,"ABS, PLA, PVA, HIPS",21 x 29.7 x 21 cm,50,2,,Hardware & software,Yes,3.00,USB,https://www.3dhubs.com/3d-printers/bcn3d-sigma
13,Rostock MAX,$999.00,"Originally starting as an Indiegogo campaign it raised 777% of its original target. This reasonably priced, Delta style printer has a build volume with a diameter of 28 cm. and a height of 33 cm. It prints with a speed of 60 mm/s and a resolution of 20 microns.",FDM,"ABS, PLA, Exotics",22.4 x 22.4 x 37.5 cm,20 microns,1,30-60 mm/s,Hardware & software,Yes,1.75,USB,https://www.3dhubs.com/3d-printers/rostock-max
14,CraftBot,"$1,249.00","The CraftBot is a low-cost FDM printer, with a relatively large 25 x 20 x 20 cm build volume. It prints with PLA, ABS and HIPS materials with a maximum resolution of 100 microns. The printer’s design is rather clean with a cut steel frame, see-through side panels and a user interface sporting a 2.8 inch color touchscreen. The printer ships with the proprietary CraftWare slicer software, providing detailed layer-by-layer visualization.",FDM,"ABS, PLA",25 x 20 x 20 cm,100 microns,1,50-200 mm/s,No,Yes,1.75,USB,https://www.3dhubs.com/3d-printers/craftbot
15,Mendel90,"$1,100.00",The Mendel90 is the improved version of the RepRap based Mendel Prusa. It is an open source printer and is available as a kit. It features a heated bed and prints various materials amongst PLA and ABS. The build volume is 20 x 20 x 20 cm. and it can print at a resolution of 50 microns.,FDM,"ABS, PLA",20 x 20 x 20 cm,50 microns,1,,Hardware & software,Yes,,USB,https://www.3dhubs.com/3d-printers/mendel90
16,DeltaWASP 20 40,"$3,999.00","Made in Italy, this Delta type printer boasts a 20 ø built plate and can print objects as high as 40 cm with resolution up to 50 microns. It is a versatile printer that can cope with a whole range of materials from PLA to ABS, nylon, polymers and Laywood.",FDM,"ABS, PLA, PET, Nylon, Flex, Polystyrene, Laywood, Experimental",20 x 20 x 40 cm,50 microns,1,300 mm/s,Hardware & software,Yes,1.75,SD card,https://www.3dhubs.com/3d-printers/deltawasp-20-40
17,LulzBot TAZ 5,"£2,636.00","The Lulzbot Taz 5 is an open source 3D printer for the tinkerer. It comes with a metal frame, heated build platform and has an exchangeable extruder system. Due to its active community many customizations are available online. It supports materials like PLA, ABS, HIPS, Ninja Flex and many more.",FDM,"ABS, PLA, HIPS, PVA, Bronze, Copper, Wood, Polyester (Tritan), PETT, Polycarbonate, Nylon, PETG, conductive PLA and ABS, UV luminescent filaments, PCTPE, PC-ABS, Alloy 910",29.8 x 27.5 x 25 cm,50 microns,"1, 2 (optional)",200mm/sec,Hardware & software,Yes,3.00,SD card,https://www.3dhubs.com/3d-printers/lulzbot-taz-5
18,Dimension 1200es,"$34,900.00",Stratasys' Dimension line is one of the first series of professional FDM printers. This 1200 version can print 9 colours of ABS in one print at a layer thickness of 254 microns. The build volume of 25.4 x 25.4 x 30.5 cm. is enclosed for a more stable printing temperature and to prevent toxic fumes from escaping.,FDM,ABS,25.4 x 25.4 x 30.5 cm,254 microns,1,,No,No,,Ethernet,https://www.3dhubs.com/3d-printers/dimension-1200
19,Ultimaker 2,"$2,499.00",The Ultimaker 2 is a multifunctional Dutch 3D printer. It comes equipped with a heated build platform and can print at a resolution of up to 20 microns. It supports both PLA and ABS and can print at a speed of 300 mm/s.,FDM,"ABS, PLA, Exotics",23 x 22.5 x 20.5 cm,20 microns,1,30-300 mm/s,Hardware & software,Yes,2.85,SD card,https://www.3dhubs.com/3d-printers/ultimaker-2
20,FlashForge Creator Pro,$899.00,"The FlashForge Creator Pro is a reasonably priced Chinese 3D printer, which bears close resemblance to the Makerbot Replicator 2X. It is a step up from the original entry level FlashForge Creator, but comes with a metal frame and enclosed chassis. Other new features include the upgraded platform leveling system and metal build plate and guide rod to help with stabilization and durability. It has dual extruders and printing materials include ABS, PLA and PVA.",FDM,"ABS, PLA, Exotics",22.5 x 14.5 x 15 cm,100 microns,2,40-100 mm/s,Hardware & software,Yes,1.75,USB,https://www.3dhubs.com/3d-printers/flashforge-creator-pro
21,UP Plus 2,"€ 1 359,00","A small, reasonably priced 3D printer that offers an out-of-the-box printing solution. It can print ABS and its heated build platform adjusts automatically. The build platform has a volume of 14 x 14 x 13.5 cm and it can print at a layer height of 150 microns. It is known as the Afinia H480 in the US.",FDM,"ABS, PLA",14 x 14 x 13.5 cm,150 microns,1,,No,With limitations,1.75,USB,https://www.3dhubs.com/3d-printers/up-plus-2
22,Witbox,"€ 1 690,00","This Spanish 3D printer has a reinforced chassis, which allows for stacking multiple printers on top of each other. It features a build volume of 29.7 x 21 x 20 cm. and ships with an enclosed build platform for increased temperature control. Its maximum printing resolution is 50 microns.",FDM,PLA,29.7 x 21 x 20 cm,50 microns,1,80 mm/s,Hardware & software,Yes,1.75,USB,https://www.3dhubs.com/3d-printers/witbox
23,FlashForge Dreamer,"$1,099.00",The Flashforge Dreamer is a fully enclosed plug 'n' play 3D printer by the Chinese manufacturer Flashforge. It features a Wi-Fi connection to upload files to the machine and has a dual extruder mechanism. Its build volume is 23 x 15 x 14 cm and it can print at a maximum resolution of 100 microns.,FDM,"ABS, PLA",23 x 15 x 14 cm,100 microns,2,30-200 mm/s,No,Yes,1.75,USB,https://www.3dhubs.com/3d-printers/flashforge-dreamer
24,Kossel,$329.00,This machine originates from a RepRap project and uses a Delta construction to 3D print. It ships with an auto-leveling build platform and prints at a resolution of 30 microns. The project is open source and many custom upgrades can be found online.,FDM,PLA,26 x 26 x 27.5 cm,30 microns,1,320 mm/s,Hardware & software,Yes,,USB,https://www.3dhubs.com/3d-printers/kossel
25,Printrbot Simple Metal,"€ 1 247,00",The Printrbot Simple Metal is the upgraded version of the Printrbot Simple and comes with a steel frame and aluminum extruder. It features an auto-leveling probe that simplifies Z-axis calibration. The build volume is 15 x 15 x 15 cm and it prints PLA at a resolution of 100 microns.,FDM,"ABS (optional), PLA, Exotics",15 x 15 x 15 cm,100 microns,1,80 mm/s,Hardware & software,Yes,1.75,USB,https://www.3dhubs.com/3d-printers/printrbot-simple-metal
26,Prusa i3 Hephestos,"€ 499,00",The Prusa i3 Hephestos is an open source 3D printer designed and developed by bq. Hephestos is based on the Prusa i3 and adds several improvements to other printers like PowerCode. Parts were developed by the RepRap community with modifications and new parts added by bq.,FDM,"PLA, HIPS, FilaFlex",21.5 x 21 x 18 cm,60 microns,1,40-60 mm/s,Hardware & software,Yes,1.75,USB,https://www.3dhubs.com/3d-printers/prusa-i3-hephestos
27,Prusa Steel,"€ 270,40","The open source Prusa Steel was originally designed as a remix of Twelvepro's redesign of Josef Prusa's i3. It was first presented as a prototype named Leonardo by Irobri in April 2013 after having attended a Maker show in Zaragoza, Spain. Made from 3mm laser cut steel for added durability, the Prusa Steel has several advantages over the standard (non-steel) Prusa i3.",FDM,"ABS, PLA, Exotics",20 x 20 x 18 cm,100 microns,1,,Hardware & software,Yes,1.75,USB,https://www.3dhubs.com/3d-printers/prusa-steel
28,uPrint SE,"€ 15 000,00",The uPrint is a professional grade 3D printer from Stratasys that utilizes ABSplus to produce high quality models and prototypes. The build volume is 20.3 x 15.2 x 15.2 cm and the minimum layer thickness is 254 microns.,FDM,ABS,20.3 x 15.2 x 15.2 cm,254 microns,2,,No,No,,Ethernet,https://www.3dhubs.com/3d-printers/uprint
29,UP Plus,,"The UP Plus is a compact, easy to use desktop printer with a build volume of 14 x14 x 13.5 cm.  It has been superseded by the UP Plus 2.",FDM,"ABS, PLA",14 x 14 x 13.5 cm,150 microns,1,30 mm/s,No,With limitations,1.75,USB,https://www.3dhubs.com/3d-printers/up-plus
30,Ultimaker Original,"€ 949,00","First released as a kit in 2011, the Ultimaker Original is one of the oldest desktop 3D printers. It can print files unto 21 x 21 x 20.5 cm. at a maximum resolution of 20 microns. An active community is there to support you in case you seek advice or modifications.",FDM,"ABS, PLA, Exotics",21 x 21 x 20.5 cm,100 microns,1,30-300 mm/s,Hardware & software,Yes,2.85,SD card,https://www.3dhubs.com/3d-printers/ultimaker-original
31,Dimension Elite,"$31,900.00",The Dimension Elite is a professional FDM printer from Stratasys. It prints with ABS+ and has a build volume of 20 x 20 x 30 cm.,FDM,ABS,20.3 x 20.3 x 30.5 cm,178 microns,2,,No,No,,Ethernet,https://www.3dhubs.com/3d-printers/dimension-elite
32,Prusa i3,$269.00,"The Prusa i3 (iteration 3) is the newest and most current 3D Printer design by RepRap Core Developer Prusajr. It is fully open source, can take different forms and sizes, while many of the printer's parts can be printed.",FDM,"ABS, PLA",20 x 20 x 18 cm,50 microns,1,,Hardware & software,Yes,,USB,https://www.3dhubs.com/3d-printers/prusa-i3
33,Form 1+,"$1,578.00","Formlabs introduced the first desktop resin 3D printer in 2012 with the launch of the original Form 1 on Kickstarter. The Form 1+ came soon after, with refined components. Among others, these included a faster and more powerful laser for curing liquid resin through the stereolithography additive manufacturing process. The resulting prints that come off of the Form 1+ have consistently been among the highest quality objects to come off of any desktop 3D printer.",SLA + DLP,Resin,12.5 x 12.5 x 16.5 cm,25 microns,,,No,No,,USB,https://www.3dhubs.com/3d-printers/form-1-plus
34,Mendel Prusa,$319.00,"The Prusa Mendel Iteration 2 is an improvement of the original Prusa Mendel, and was released in November 2011. This version precedes a third iteration i3. True to the RepRap roots, there are a lot neat customization and upgrade options.",FDM,"ABS, PLA",20 x 20 x 20 cm,150 microns,1,,Hardware & software,Yes,,USB,https://www.3dhubs.com/3d-printers/mendel-prusa
35,UP Mini,"€ 709,00",The UP Mini is an affordable 3D printer of Chinese origin. It can print objects in both ABS and PLA of up to 12 x 12 x 12 cm and has a heated build platform. Its enclosed printing area makes sure the printing temperature remains constant to provide a stable printing environment.,FDM,"ABS, PLA",12 x 12 x 12 cm,200 microns,1,,No,With limitations,1.75,USB,https://www.3dhubs.com/3d-printers/up-mini
36,PowerWASP EVO,"$1,770.00","The PowerWASP EVO combines a 3D printer with a CNC mill. It can print with a whole range of materials including ABS, PLA, Nylon, PC, Rubber and Wood with max dimension of 26 x 19.5 x 19 cm.",FDM,"ABS, PLA",26 x 19.5 x 19 cm,50 microns,1,200 mm/s,Hardware & software,Yes,1.75,USB,https://www.3dhubs.com/3d-printers/powerwasp
37,Ultimaker 2 Extended,"€ 2 999,00",The Ultimaker 2 Extended is the large version of the well-known multifunctional Dutch 3D printer. It comes equipped with a heated build platform and can print at a resolution of up to 20 microns. It supports both PLA and ABS and can print at a speed of 300 mm/s.,FDM,"ABS, PLA, Exotics",22.3 x 22.3 x 30.5 cm,20 microns,1,30-300 mm/s,Hardware & software,Yes,2.85,SD card,https://www.3dhubs.com/3d-printers/ultimaker-2-extended
38,LulzBot,"$2,195.00",The Lulzbot V1 is a desktop FDM printer by Aleph Objects. It has a large 29 x 27 x 25cm build volume. The Lulzbot V1 prints with 3mm filament and the printing resolution ranges from 75 to 300 microns.,FDM,"ABS, PLA, HIPS, PVA, Wood Filaments",29.8 x 27.5 x 25 cm,75 microns,1,200mm/sec,Hardware & software,Yes,3.00,USB,https://www.3dhubs.com/3d-printers/lulzbot
39,Velleman K8400,$659.00,"The Velleman K8400 is a entry level 3D printer kit from Belgium. It features a plastic body, glass build plate, standalone printing with on printer controls and optional dual extruder support.",FDM,"ABS, PLA",18 x 19 x 20 cm,50 microns,"1, 2 (optional)",30 mm/s - 120 mm/s,Hardware & software,Yes,1.75,SD card,https://www.3dhubs.com/3d-printers/velleman-k8400
40,MendelMax,"$1,495.00",This Open Source RepRap 3D printer was designed by Maxbots in December 2011. This Kit utilizes 3D printed parts in production and has an improved and more rigid structure. Its successor is the MendelMax 2.,FDM,"ABS, PLA",25 x 31.5 x 19.7 cm,100 microns,"1, 2 (optional)",150 mm/s,Hardware & software,Yes,,USB,https://www.3dhubs.com/3d-printers/mendelmax
41,Kossel Mini,$380.00,"This machine originates from a RepRap project and uses a Delta construction to 3D print. It is the small version of the original Kossel, with reduced footprint and build volume. It ships with an auto-leveling build platform and prints at a resolution of 30 microns. The project is open source and many custom upgrades can be found online.",FDM,PLA,17 x 17 x 24 cm,30 microns,1,320 mm/s,Hardware & software,Yes,,USB,https://www.3dhubs.com/3d-printers/kossel-mini
42,Tevo Tarantula,$299.00,The Tevo Tarantula is a desktop 3D printer based on the Prusa i3 design. It features a starting build area of 200 x 200 x 200mm with an optional increase to 200 x 280 x 200mm. The Tarantula can print in a variety of plastics and has a heated build plate.,FDM,"PLA, ABS, PETG, Wood, PVA and Flexible Filaments (With Pro Metal Extruder).",20 x 20 x 20 cm,50,1,,Yes,Yes,1.75,USB,https://www.3dhubs.com/3d-printers/tevo-tarantula
43,Objet Eden260,"$19,800.00",The Objet Eden 260 is a professional Material Jetting 3D printer from Stratasys. It has a build volume of 25.5 x 25.2 x 20.0cm and reaches up to 16 microns in resolution. It only prints with Vero material from Stratasys.,PolyJet,Resin,25.5 x 25.2 x 20 cm,16 microns,,,No,No,,Ethernet,https://www.3dhubs.com/3d-printers/objet-eden260
44,EOS P 396,"$250,000.00","The EOS P 396 is a medium-sized, plastic industrial SLS 3D printer produced by German manufacturer EOS. Featuring a total build size of 340mm x 340mm x 600mm, the P 396 prints 32% faster and consumes 38% less energy than its predecessor thanks to a new 70W CO₂ laser, according to EOS.",SLS,PA 2200 and PrimePart® PLUS,34 x 34 x 60 cm,100 microns,,,No,No,,,https://www.3dhubs.com/3d-printers/eos-p-396
45,Printrbot Simple,$395.00,"Printbot is one of the earliest pioneers of desktop 3D printing. Still one of the most successful 3D printer campaigns on Kickstarter, in 2011 the company was the first to bring the promise of affordable 3D printing to reality.",FDM,"ABS (optional), PLA",10 x 10 x 10 cm,100 microns,1,60 mm/s,Hardware & software,Yes,1.75,USB,https://www.3dhubs.com/3d-printers/printrbot
46,FlashForge Creator,$989.00,"The Flashforge Creator is a reasonably priced Chinese 3D printer, which bears close resemblance to the Makerbot Replicator Original first generation. It features a dual extruder and a laser cut wooden frame. Its build volume is 22.5 x 14.5 x 15 cm and prints at a resolution of 100 microns.",FDM,"ABS, PLA, Exotics",22.5 x 14.5 x 15 cm,100 microns,2,40-100 mm/s,Hardware & software,Yes,1.75,USB,https://www.3dhubs.com/3d-printers/flashforge-creator
47,Prusa i2,£899.00,"The Prusa Mendel Iteration 2 is an improvement of the Prusa Mendel made by Josef Prusa, and was released in November 2011. This version precedes a newest iteration (i3)",FDM,PLA,20 x 20 x 20 cm,100 microns,1,,Hardware & software,Yes,1.75,USB,https://www.3dhubs.com/3d-printers/prusa-i2
48,Rostock,,"Rostock is a linear Delta robot 3D printer prototype, first built in 2012. It is a fully open source machine, part of the RepRap project. Several variations have taken root, with different forms and sizes.",FDM,"ABS, PLA",20 x 20 x 40 cm,100 microns,1,,Hardware & software,Yes,,USB,https://www.3dhubs.com/3d-printers/rostock
49,Projet 3500 HDMax,"$70,000.00","3D Systems' MultiJet Printing technology delivers robust, durable, high quality plastic parts ideal for creating functional prototypes and wax models that can be used for investment casting. Works with VisiJet M3 Materials, offering UV-curable plastic, in a range of colors, translucencies and tensile strengths.",Jetting,VisiJet,29.8 x 18.5 x 20.3 cm,16 microns,,,No,No,,Ethernet,https://www.3dhubs.com/3d-printers/projet-3500-hdmax
50,RepRap,$319.00,"The father of most desktop 3D printers, the RepRap project is an initiative founded in 2005 to create a 3D printer that can print most of its own components. These FDM printers are fully open source and can take various forms and sizes.",FDM,"ABS, PLA",20 x 20 x 15 cm,,"1, 2 (optional)",,Hardware & software,Yes,,USB,https://www.3dhubs.com/3d-printers/reprap
51,Felix 3.0,"$1,975.00","As the successor of the Felix 2.0, the Felix 3.0 has a stiffer frame and prints at a higher speed of 200 mm/s. The build volume remains the same at 25.5 x 20.5 x 23.5 cm and the build platform is heated. It prints at a maximum resolution of 50 microns.",FDM,"ABS, PLA, Nylon",25.5 x 20.5 x 23.5 cm,50 microns,"1, 2 (optional)",30-200 mm/s,Only software,Yes,1.75,USB,https://www.3dhubs.com/3d-printers/felix-30
52,Printrbot Simple Maker,$349.00,"Printbot is one of the earliest pioneers of desktop 3D printing. Still one of the most successful 3D printer campaigns on Kickstarter, in 2011 the company was the first to bring the promise of affordable 3D printing to reality. The Simple is an updated version of the original model and it was sold as a kit.",FDM,"ABS (optional), PLA",10 x 10 x 10 cm,100 microns,1,60 mm/s,Hardware & software,Yes,1.75,USB,https://www.3dhubs.com/3d-printers/printrbot-simple-maker
53,B9 Creator,"$4,595.00","The B9 Creator is one of the first consumer Resin printers, it was successfully funded on Kickstarter in 2012. It uses a Digital Light Processing (DLP) technique to create 3D prints out of Resin. The current 1.2 version can print in a resolution of 30 microns and supports three colors: Cherry, Red and Black.",SLA + DLP,Resin,20.32 x 10.24 x 7.68 cm,5 microns,,12-20 mm/h,Hardware & software,Yes,,USB,https://www.3dhubs.com/3d-printers/b9-creator
54,Replicator 2,"$1,599.00","Still one of the company's most successful 3D printers, the 4th generation Makerbot Replicator sports a steel chassis, LCD screen with on-board controls and SD card connectivity. It has a build volume of 28.5 x 15.3 x 15.5 cm and print with PLA.",FDM,PLA,28.5 x 15.3 x 15.5 cm,100 microns,1,,No,Yes,1.75,USB,https://www.3dhubs.com/3d-printers/makerbot-replicator-2
55,Robo 3D R1,"€ 1 669,00","A Kickstarter project that amassed almost $650,000, the R1 is a low-cost, open source and easy to use 3D printer. The current version is sold fully assembled and it's equipped with a heated bed for printing with both ABS and PLA filaments.",FDM,"ABS, PLA",25.4 x 22.9 x 20.3 cm,100 microns,1,50 mm/s,Hardware & software,Yes,1.75,USB,https://www.3dhubs.com/3d-printers/robo-3d-r1
56,CTC-3D,"€ 369,00","The CTC-3D is a Chinese low-budget 3D printer, which bears close resemblance to the 1st gen. Makerbot Replicator. It can print in both PLA and ABS at a resolution of 100 microns. Stand-alone printing is possible and its build volume is 25 x 20 x 20 cm.",FDM,"ABS, PLA",22.5 x 14.5 x 15 cm,100 microns,2,35-40 mm/s,Hardware & software,Yes,1.75,USB,https://www.3dhubs.com/3d-printers/ctc-3d
57,ProJet CJP 660Pro,"$59,650.00","3D System's high-end full color printer for professional use. Ideal for stop motion animation, professional model shops, architects, consumer product design and development, digital manufacturing, fine art production and more. It prints to a resolution of 600 x 540 dpi and has a build size of 25.4 x 38.1 x 20.3 cm.",Jetting,VisiJet PLX,25.4 x 38.1 x 20.3 cm,100 microns,,28mm/h,No,No,,Ethernet,https://www.3dhubs.com/3d-printers/projet-cjp-660pro
58,Duplicator 4,£606.00,"The Wanhao Duplicator 4 is a reasonably priced Chinese printer, which bears close resemblance to the Makerbot Replicator 2. It has a build volume of 22.5 x 14.5 x 15 cm. and can print at a resolution of 100 microns in ABS, PLA and PVA.",FDM,"ABS, PLA, PVA",22.5 x 14.5 x 15 cm,100 microns,2,40 mm/s,Hardware & software,Yes,1.75,USB,https://www.3dhubs.com/3d-printers/wanhao-duplicator-4
59,Fullscale XT,"€ 1 995,00","The China based Mankati is a larger size desktop 3D printer. This 3rd generation 3D Printer has a 25 x 25 x 30 cm build volume, which is about the size of a basketball. Dual extruder and a heated bed also come standard.",FDM,"ABS, PLA, Nylon",25 x 25 x 30 cm,40 microns,2,180 mm/s,No,Yes,3.00,USB,https://www.3dhubs.com/3d-printers/mankati-fullscale-xt
60,The Micro,$449.00,"The Micro by M3D is amongst the most successful FDM printers on Kickstarter, amassing $3,4 million in 2014. It has a tiny build volume of 116x109x113mm, where the top 74mm only reaches a surface of 91x84mm (in other words, it narrows). It prints with 1.75mm filament and reaches a 50-250 micron resolution.",FDM,"ABS, PLA",11.6 x 10.9 x 11.3 cm,50 microns,1,-,No,Yes,1.75,USB,https://www.3dhubs.com/3d-printers/themicro
61,Velleman K8200,"€ 444,00",This open source 3D Printer is an affordable kit with a build volume of 20 x 20 x 20 cm. The K8200 is capable of printing in either PLA or ABS. Modifications are possible and it is supported by most free RepRap software packages.,FDM,"ABS, PLA",20 x 20 x 23.7 cm,200 microns,1,120-300 mm/s,Hardware & software,Yes,3.00,USB,https://www.3dhubs.com/3d-printers/velleman-k8200
62,NG,"£1,777.00","The Next Generation (NG) is the 3rd 3D printer produced by the Sharebot. Made in Italy, the printer is fully open source. It is available in two models, one with a single and one with dual extruders. The NG is aimed at professional users and it can print with a wide range of materials.",FDM,"ABS, PLA",25 x 20 x 20 cm,50 microns,2,150cm3/h,Hardware & software,Yes,1.75,USB,https://www.3dhubs.com/3d-printers/ng
63,3Drag,$500.00,"This affordable RepRap style printer can be ordered as a kit. Because of its active community and open source nature, many upgrades and customizations available. The minimum layer height is 125 microns and it can print at 150 mm/s.",FDM,"ABS, PLA",20 x 20 x 20 cm,100 microns,1,150 mm/s,Hardware & software,Yes,3.00,USB,https://www.3dhubs.com/3d-printers/3drag
64,Zcorp,,"Acquired by 3Dsystems in 2012, Zcorp printers are ink-jet style 3D printers that are capable of printing in full color. This professional grade 3D printer line is capable of printing with 600 - 540 dpi resolution and has a build size of 25.4 x 38.1 x 20.3 cm.",Jetting,VisiJet PLX,25.4 x 38.1 x 20.3 cm,100 microns,,,No,No,,Ethernet,https://www.3dhubs.com/3d-printers/zcorp
65,Form 1,,"The first accessible desktop SLA Printer. Easily upgradable to the Form 1+ with a $1,200 kit. The Form 1 uses stereolithography (SLA) to produce 3D prints out of Resin. It has a build volume of 12.5 x 12.5 x 16.5 cm and can print in transparent, white, grey and black up to 25 microns.",SLA + DLP,Resin,12.5 x 12.5 x 16.5 cm,25 microns,,,No,No,,USB,https://www.3dhubs.com/3d-printers/form-1
66,Replicator 2x,"£2,625.00",The Replicator 2X is Makerbot's experimental dual-extruder 3D printer comes with a fully enclosed steel chassis and boasts a heated platform for printing in ABS or PLA.,FDM,ABS,24.6 x 16.3 x 15.5 cm,100 microns,2,,No,Yes,1.75,USB,https://www.3dhubs.com/3d-printers/makerbot-replicator-2x
